"","intensityThreshold","orgBudget","repairRatio","extremeWeatherDamage","adaptThreshold","maxPrevention","param_set_id","mean_infra","org_repair_budget","org_vulnerability","repair_cost","extreme_weather_frequency","prevention","damage","run_id","run_duration"
"54",0,500,0.4,1,1,0,18,28.0123456790123,72.4,0.418435816147172,1877,100,0,1,2,1.18893504142761
"55",0,0,0.6,1,1,0,19,1,0,1,3278,100,0,1,3,1.05919504165649
"56",0,0,0.6,1,1,0,19,1,0,1,3664,100,0,1,2,1.15481686592102
"57",0,0,0.6,1,1,0,19,1,0,1,4459,100,0,1,1,1.00954103469849
"58",0,100,0.6,1,1,0,20,4.95061728395062,10.2,0.894757867359389,3457,100,0,1,3,1.40060710906982
"59",0,100,0.6,1,1,0,20,4.88888888888889,10.2,0.864365026522585,3511,100,0,1,2,1.27091193199158
"60",0,100,0.6,1,1,0,20,4.59259259259259,10.2,0.884026471874591,3688,100,0,1,1,1.34348201751709
"61",0,200,0.6,1,1,0,21,9.95061728395062,19.8,0.759480822254428,3010,100,0,1,3,1.25732207298279
"62",0,200,0.6,1,1,0,21,10.1975308641975,19.8,0.740346204587113,2842,100,0,1,1,0.99677586555481
"63",0,200,0.6,1,1,0,21,11.7283950617284,19.8,0.712434529550388,3209,100,0,1,2,0.8646399974823
"64",0,300,0.6,1,1,0,22,14.9753086419753,29.4,0.634142594238773,2756,100,0,1,3,0.821141958236694
"65",0,300,0.6,1,1,0,22,15.9876543209877,29.4,0.66061982133978,2690,100,0,1,1,0.817710161209106
"66",0,300,0.6,1,1,0,22,15.3703703703704,29.4,0.640044232456929,2704,100,0,1,2,0.817683935165405
"67",0,400,0.6,1,1,0,23,23.1234567901235,39,0.543752955669494,2270,100,0,1,3,1.07456302642822
"68",0,400,0.6,1,1,0,23,22.1234567901235,39,0.5673844775096,2079,100,0,1,2,1.32200384140015
"69",0,400,0.6,1,1,0,23,24.1728395061728,39,0.506114410608865,2472,100,0,1,1,1.19396018981934
"70",0,500,0.6,1,1,0,24,28.358024691358,48.6,0.495552205999862,1584,100,0,1,3,0.826614856719971
"71",0,500,0.6,1,1,0,24,27.1851851851852,48.6,0.41955546174189,2023,100,0,1,2,0.984616994857788
"72",0,500,0.6,1,1,0,24,25.2839506172839,48.6,0.504375185017226,1612,100,0,1,1,1.12066388130188
"73",0,0,0.8,1,1,0,25,1,0,1,4159,100,0,1,3,0.933241128921509
"74",0,0,0.8,1,1,0,25,1,0,1,4252,100,0,1,1,1.06562900543213
"75",0,0,0.8,1,1,0,25,1,0,1,3540,100,0,1,2,0.97674822807312
"76",0,100,0.8,1,1,0,26,4.64197530864198,4,0.888324882422105,3280,100,0,1,2,1.04487180709839
"77",0,100,0.8,1,1,0,26,5.16049382716049,4,0.907156237210276,3283,100,0,1,3,0.949097156524658
"78",0,100,0.8,1,1,0,26,4.74074074074074,4,0.890000930597392,3860,100,0,1,1,1.11583280563354
"79",0,200,0.8,1,1,0,27,10.8641975308642,7.2,0.732675588130259,3258,100,0,1,2,1.01616621017456
"80",0,200,0.8,1,1,0,27,9.87654320987654,7.2,0.75293965411301,3300,100,0,1,1,0.879631996154785
"81",0,200,0.8,1,1,0,27,10.2469135802469,7.2,0.728154157793907,3389,100,0,1,3,0.737668037414551
"82",0,300,0.8,1,1,0,28,16.7530864197531,10.4,0.624043743385106,2427,100,0,1,1,0.835542917251587
"83",0,300,0.8,1,1,0,28,17.3086419753086,10.4,0.594963567810652,2855,100,0,1,2,0.932311058044434
"84",0,300,0.8,1,1,0,28,17.679012345679,10.4,0.668817698559201,2670,100,0,1,3,0.859728097915649
"85",0,400,0.8,1,1,0,29,22.9012345679012,13.6,0.519165739509134,2469,100,0,1,1,0.680197954177856
"86",0,400,0.8,1,1,0,29,20.6296296296296,13.6,0.580844001075651,2146,100,0,1,3,0.984259843826294
"87",0,400,0.8,1,1,0,29,23.3827160493827,13.6,0.515253640679462,2452,100,0,1,2,0.700438022613525
"88",0,500,0.8,1,1,0,30,30,16.8,0.407334223782977,1402,100,0,1,3,0.662965059280396
"89",0,500,0.8,1,1,0,30,27.8641975308642,16.8,0.374900215868928,1884,100,0,1,1,0.807178020477295
"90",0,500,0.8,1,1,0,30,28.9382716049383,16.8,0.404642358492736,2055,100,0,1,2,0.746778011322021
"91",0,0,1,1,1,0,31,1,0,1,3993,100,0,1,2,0.677896022796631
"92",0,0,1,1,1,0,31,1,0,1,4245,100,0,1,3,0.703595876693726
"93",0,0,1,1,1,0,31,1,0,1,3922,100,0,1,1,0.708357095718384
"94",0,100,1,1,1,0,32,5.67901234567901,1,0.898768121812803,3842,100,0,1,3,0.733670949935913
"95",0,100,1,1,1,0,32,6.5679012345679,1,0.837034479998753,3976,100,0,1,2,0.697065114974976
"96",0,100,1,1,1,0,32,5.98765432098765,1,0.859148477649561,3609,100,0,1,1,0.77745795249939
"97",0,200,1,1,1,0,33,11.4567901234568,1,0.716528405264947,3395,100,0,1,3,0.716398954391479
"98",0,200,1,1,1,0,33,11.1728395061728,1,0.746822260820274,2813,100,0,1,2,0.7064049243927
"99",0,200,1,1,1,0,33,10.2345679012346,1,0.742679563887301,2949,100,0,1,1,0.717536211013794
"100",0,300,1,1,1,0,34,16.5061728395062,1,0.648437663504226,2632,100,0,1,2,0.715273857116699
"101",0,300,1,1,1,0,34,17.0617283950617,1,0.665258237286512,2835,100,0,1,3,0.728024005889893
"102",0,300,1,1,1,0,34,15.2716049382716,1,0.612043681455904,2755,100,0,1,1,0.765698194503784
"103",0,400,1,1,1,0,35,24.3827160493827,1,0.534112889449221,2125,100,0,1,2,0.747711896896362
"104",0,400,1,1,1,0,35,23.0987654320988,1,0.503190557967184,2384,100,0,1,3,0.756731986999512
"105",0,400,1,1,1,0,35,23.2962962962963,1,0.530903757114718,2513,100,0,1,1,0.728877067565918
"106",0,500,1,1,1,0,36,30.2716049382716,1,0.419146880259668,1746,100,0,1,3,0.689768075942993
"107",0,500,1,1,1,0,36,24.8395061728395,1,0.452212660738838,1813,100,0,1,2,0.852442979812622
"108",0,500,1,1,1,0,36,27.5432098765432,1,0.460870109640599,1832,100,0,1,1,0.7972571849823
"109",0,0,0,6,1,0,37,1,0,1,3866,100,0,6,3,0.775791883468628
"110",0,0,0,6,1,0,37,1,0,1,4394,100,0,6,2,0.695269107818604
"111",0,0,0,6,1,0,37,1,0,1,4089,100,0,6,1,0.732813835144043
"112",0,100,0,6,1,0,38,1,0,1,4247,100,0,6,2,0.748838186264038
"113",0,100,0,6,1,0,38,1,0,1,3520,100,0,6,3,0.900237083435059
"114",0,100,0,6,1,0,38,1,0,1,3889,100,0,6,1,0.823421001434326
"115",0,200,0,6,1,0,39,1,0,1,4324,100,0,6,2,0.765979051589966
"116",0,200,0,6,1,0,39,1,0,1,4025,100,0,6,3,0.77517294883728
"117",0,200,0,6,1,0,39,1,0,1,3866,100,0,6,1,0.834969043731689
"118",0,300,0,6,1,0,40,1,0,1,3503,100,0,6,2,0.802875995635986
"119",0,300,0,6,1,0,40,1,0,1,3481,100,0,6,3,0.802512884140015
"120",0,300,0,6,1,0,40,1,0,1,3909,100,0,6,1,0.836095094680786
"121",0,400,0,6,1,0,41,1,0,1,3995,100,0,6,1,0.821307897567749
"122",0,400,0,6,1,0,41,1,0,1,4143,100,0,6,2,0.80063009262085
"123",0,400,0,6,1,0,41,1,0,1,4005,100,0,6,3,0.782297849655151
"124",0,500,0,6,1,0,42,1,0,1,3549,100,0,6,1,0.830404043197632
