"BehaviorSpace results (NetLogo 6.0.2)"
"EW draft 1.nlogo"
"experiment1"
"04/04/2018 19:57:52:203 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","numMonths","adaptThreshold","adaptCostPerUnit","intensityThreshold","damageRatioThreshold","repairRatio","choose-strategy","interval","maxMemoryLength","changeRepairRatio?","maxPrevention","orgBudget","ExtremeWeatherDamage","cumDamageRatioThreshold","[step]","mean [infraQuality] of serviceArea","mean [infraVulnerability] of serviceArea","mean [currentDamage] of serviceArea","extremeWeatherFreq","mean [prevention] of serviceArea"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","7","49.925925925925924","0.06135906357170683","0","1","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","8","53.41975308641975","0.03275697894941961","0","3","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","5","44.79012345679013","0.08784412594184977","0","0","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","6","43.49382716049383","0.06404772882996335","0","2","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","8","49.925925925925924","0.06135906357170683","0","1","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","9","53.41975308641975","0.0327569789494196","0","3","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","2","49.864197530864196","0.08201352857832002","2.0987654320987654","1","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","9","49.925925925925924","0.061359063571706826","0","2","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","7","43.49382716049383","0.06404772882996336","0","3","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","10","53.41975308641975","0.0327569789494196","0","4","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","3","49.864197530864196","0.08201352857832005","0","1","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","10","49.925925925925924","0.06135906357170685","0","2","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","11","53.41975308641975","0.03275697894941961","0","4","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","11","49.925925925925924","0.06135906357170683","0","2","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","12","53.41975308641975","0.032756978949419605","0","4","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","1","49.75308641975309","0.046416751710017315","0","0","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","6","44.79012345679013","0.08784412594184975","0","1","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","8","43.49382716049383","0.06404772882996335","0","3","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","4","49.864197530864196","0.08201352857832002","0","1","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","12","49.925925925925924","0.06135906357170681","0","2","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","13","53.41975308641975","0.03275697894941961","0","5","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","7","44.79012345679013","0.08784412594184976","0","1","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","2","49.75308641975309","0.04641675171001731","0","0","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","14","53.41975308641975","0.0327569789494196","0","5","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","13","49.925925925925924","0.06135906357170681","0","2","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","9","43.49382716049383","0.06404772882996335","0","3","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","5","47.91358024691358","0.09059580546810383","2.0987654320987654","2","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","8","44.79012345679013","0.08784412594184976","0","1","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","3","49.75308641975309","0.04641675171001732","0","0","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","15","53.41975308641975","0.03275697894941961","0","5","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","14","49.925925925925924","0.061359063571706826","0","2","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","11","49.91358024691358","0.07954865785653803","1.9382716049382716","1","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","10","43.49382716049383","0.06404772882996336","0","3","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","6","47.91358024691358","0.09059580546810382","0","2","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","15","49.925925925925924","0.061359063571706826","0","3","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","4","49.75308641975309","0.04641675171001731","0","0","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","9","44.79012345679013","0.08784412594184972","0","2","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","12","49.91358024691358","0.07954865785653807","0","1","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","16","53.41975308641975","0.032756978949419605","0","6","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","16","49.925925925925924","0.061359063571706826","0","3","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","17","49.925925925925924","0.06135906357170681","0","3","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","17","53.41975308641975","0.03275697894941962","0","6","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","5","49.75308641975309","0.04641675171001732","0","0","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","18","53.41975308641975","0.032756978949419605","0","6","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","10","44.79012345679013","0.08784412594184976","0","3","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","18","49.925925925925924","0.06135906357170683","0","3","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","19","53.41975308641975","0.03275697894941959","0","6","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","11","43.49382716049383","0.06404772882996335","0","3","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","13","49.91358024691358","0.07954865785653806","0","1","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","19","49.925925925925924","0.06135906357170681","0","4","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","20","53.41975308641975","0.032756978949419605","0","6","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","7","45.97530864197531","0.10489275029690122","2.037037037037037","3","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","6","49.75308641975309","0.0464167517100173","0","0","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","11","44.79012345679013","0.08784412594184977","0","3","0"
"1","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","0","50.08641975308642","0.03818971794196628","0","0","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","21","53.41975308641975","0.03275697894941961","0","6","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","20","49.925925925925924","0.06135906357170685","0","4","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","12","44.79012345679013","0.08784412594184973","0","4","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","7","49.75308641975309","0.046416751710017315","0","0","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","12","43.49382716049383","0.06404772882996335","0","3","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","14","49.91358024691358","0.07954865785653806","0","1","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","21","49.925925925925924","0.061359063571706826","0","4","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","22","53.41975308641975","0.03275697894941962","0","7","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","23","53.41975308641975","0.03275697894941962","0","7","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","8","44.370370370370374","0.12225336866024035","1.7530864197530864","4","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","22","49.925925925925924","0.06135906357170681","0","4","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","24","53.41975308641975","0.03275697894941961","0","7","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","13","44.79012345679013","0.08784412594184976","0","4","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","8","49.75308641975309","0.04641675171001732","0","0","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","23","49.925925925925924","0.06135906357170685","0","5","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","15","49.91358024691358","0.07954865785653807","0","1","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","13","43.49382716049383","0.06404772882996337","0","4","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","9","44.370370370370374","0.12225336866024039","0","4","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","14","44.79012345679013","0.08784412594184976","0","5","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","9","49.75308641975309","0.0464167517100173","0","0","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","24","49.925925925925924","0.06135906357170685","0","5","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","16","49.91358024691358","0.07954865785653809","0","1","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","10","49.75308641975309","0.0464167517100173","0","0","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","14","43.49382716049383","0.06404772882996335","0","4","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","15","44.79012345679013","0.08784412594184976","0","6","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","10","44.370370370370374","0.12225336866024039","0","4","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","25","53.41975308641975","0.03275697894941961","0","7","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","26","53.41975308641975","0.032756978949419605","0","7","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","27","53.41975308641975","0.0327569789494196","0","7","0"
